"prov" "agno" "casos" "esp" "long" "lat"
"275" 25 1980 46 41.9605484378166 1.05797639294180 42.0569667018661
"276" 26 1980 25 23.8697364348989 -2.50129759774743 42.2834647638459
"277" 27 1980 42 59.1361373819347 -7.43968312456498 43.0234823442494
"278" 28 1980 227 281.07315952848 -3.71281962879811 40.5070988091236
"279" 29 1980 70 64.7548109271563 -4.73055642619482 36.8262859308411
"280" 30 1980 97 72.9039584494712 -1.49630010993228 38.0192645198754
"281" 31 1980 41 45.4609549374462 -1.62626983258690 42.6731456222013
"282" 32 1980 51 52.5854057913089 -7.57751195701661 42.2058800425114
"283" 33 1980 108 98.551716736042 -5.9826023524122 43.3068393860113
"284" 34 1980 25 20.1349840930596 -4.5244778612837 42.3858592040108
"285" 35 1980 54 38.7668637751105 -14.0808342801231 28.5157089130002
"286" 36 1980 58 61.9681309284421 -8.44460855754943 42.4398016773539
"287" 37 1980 35 44.6915293209526 -6.0589248043088 40.8171845370366
"288" 38 1980 44 42.9259619326907 -16.5420836626214 28.4318722417734
"289" 39 1980 56 41.4152772810259 -4.01407954592847 43.2119867222126
"290" 40 1980 25 18.4336211718526 -4.04852400392879 41.1828032906417
"291" 41 1980 100 91.7170200702037 -5.68875708808965 37.448879916972
"292" 42 1980 14 15.8625122277093 -2.58123034319994 41.6308263313168
"293" 43 1980 65 52.2856434226939 0.826785127629588 41.099494777678
"294" 44 1980 20 24.4915077939316 -0.812830844826387 40.6744694945262
"295" 45 1980 46 51.3096948245936 -4.14438535984712 39.8056144801947
"296" 46 1980 181 161.764056630271 -0.789648969061416 39.3579240490339
"297" 47 1980 51 34.9667066690262 -4.83269168581912 41.6440757226044
"298" 48 1980 100 75.0129874538166 -2.83223719674931 43.2527888459929
"299" 49 1980 35 31.1289542001547 -5.96472387457858 41.742081055707
"300" 50 1980 77 80.1819899602958 -1.05613701304700 41.6309680140457
"301" 1 1981 16 16.5585890350258 -2.69920255095887 42.8362688079098
"302" 2 1981 48 34.3691650658769 -1.98432704501776 38.8405206642905
"303" 3 1981 95 90.901024219749 -0.576909403944958 38.4974913538265
"304" 4 1981 28 31.1480633412958 -2.35604061514020 37.2133431727737
"305" 5 1981 16 24.4749926838807 -4.93788312937989 40.5815877800085
"306" 6 1981 84 61.8098444767818 -6.13905369866462 38.7256674878886
"307" 7 1981 56 62.4196293880578 2.91946602099717 39.6320217153478
"308" 8 1981 341 338.512511898546 1.99811663925652 41.7469265779753
"309" 9 1981 37 38.0672945593375 -3.59134675355039 42.3729704312902
"310" 10 1981 39 43.9976826237826 -6.15535052135614 39.7231926273179
"311" 11 1981 66 53.1096763327663 -5.76468483106548 36.5624969412696
"312" 12 1981 56 47.2607979137315 -0.148039282559446 40.2507348146576
"313" 13 1981 59 45.9142360230184 -3.81339188792 38.9298215736108
"314" 14 1981 53 60.7908403216453 -4.81499528758521 38.0049023897714
"315" 15 1981 102 93.3028103830449 -8.45971855216294 43.1280401889178
"316" 16 1981 32 31.1039431125766 -2.19548700715003 39.9086860718255
"317" 17 1981 41 44.8352044791672 2.68708796205338 42.145865652011
"318" 18 1981 44 60.0850039557245 -3.2725162184824 37.3330507124855
"319" 19 1981 20 21.787320940468 -2.62128556282702 40.8274558690964
"320" 20 1981 42 44.8612191015132 -2.16792853126469 43.1528089188849
"321" 21 1981 36 32.7542773511452 -6.83265276754075 37.5978334583402
"322" 22 1981 31 30.3930546358262 -0.059609139223607 42.2142401605038
"323" 23 1981 48 58.9449719825254 -3.44979781370444 38.0308250493701
"324" 24 1981 60 56.8498008796762 -5.82870631120274 42.634323440999
"325" 25 1981 50 43.039502941876 1.05797639294180 42.0569667018661
"326" 26 1981 34 24.5333199621745 -2.50129759774743 42.2834647638459
"327" 27 1981 49 60.3714066203964 -7.43968312456498 43.0234823442494
"328" 28 1981 254 292.071792866259 -3.71281962879811 40.5070988091236
"329" 29 1981 102 66.4966949414082 -4.73055642619482 36.8262859308411
"330" 30 1981 87 74.3511196899552 -1.49630010993228 38.0192645198754
"331" 31 1981 53 46.5636186043048 -1.62626983258690 42.6731456222013
"332" 32 1981 49 53.7740399131229 -7.57751195701661 42.2058800425114
"333" 33 1981 109 101.448729810568 -5.9826023524122 43.3068393860113
"334" 34 1981 19 20.6437679392637 -4.5244778612837 42.3858592040108
"335" 35 1981 50 39.771635966504 -14.0808342801231 28.5157089130002
"336" 36 1981 70 63.7846399844896 -8.44460855754943 42.4398016773539
"337" 37 1981 40 45.8546963306271 -6.0589248043088 40.8171845370366
"338" 38 1981 54 44.0200575081931 -16.5420836626214 28.4318722417734
"339" 39 1981 54 42.7143836565942 -4.01407954592847 43.2119867222126
"340" 40 1981 27 18.8681459439023 -4.04852400392879 41.1828032906417
"341" 41 1981 108 93.9561122461585 -5.68875708808965 37.448879916972
"342" 42 1981 13 16.2812676140785 -2.58123034319994 41.6308263313168
"343" 43 1981 74 53.2893914939236 0.826785127629588 41.099494777678
"344" 44 1981 15 24.8595804950744 -0.812830844826387 40.6744694945262
"345" 45 1981 43 52.4885206240262 -4.14438535984712 39.8056144801947
"346" 46 1981 173 165.014891687455 -0.789648969061416 39.3579240490339
"347" 47 1981 44 36.1599977417221 -4.83269168581912 41.6440757226044
"348" 48 1981 96 76.8886367692544 -2.83223719674931 43.2527888459929
"349" 49 1981 38 31.9502051028893 -5.96472387457858 41.742081055707
"350" 50 1981 85 82.3792604698573 -1.05613701304700 41.6309680140457
"351" 1 1982 20 17.2366362223708 -2.69920255095887 42.8362688079098
"352" 2 1982 40 34.9913787377021 -1.98432704501776 38.8405206642905
"353" 3 1982 109 93.6388942406651 -0.576909403944958 38.4974913538265
"354" 4 1982 49 32.0498321242472 -2.35604061514020 37.2133431727737
"355" 5 1982 22 25.3702811937627 -4.93788312937989 40.5815877800085
